Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,OTHER,167
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,PS,-412
FUELHH,2022-11-10T07:00:00Z,2022-11-10T06:30:00Z,2022-11-10,14,WIND,13641
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,BIOMASS,2042
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,CCGT,5354
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,COAL,0
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,INTELEC,-1024
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,INTEW,504
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,INTFR,-1030
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,INTIFA2,-1028
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,INTIRL,400
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,INTNED,-1014
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,INTNEM,-1020
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,INTNSL,1058
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,NPSHYD,472
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,NUCLEAR,4628
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,OCGT,0
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,OIL,0
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,OTHER,151
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,PS,-856
FUELHH,2022-11-10T06:30:00Z,2022-11-10T06:00:00Z,2022-11-10,13,WIND,13836
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,BIOMASS,1566
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,CCGT,4678
FUELHH,2022-11-10T06:00:00Z,2022-11-10T05:30:00Z,2022-11-10,12,COAL,0
