Station,Line,Year-Built,Grade,URL,Latitude,Longitude
Hidalgo,"2, 3",1970,Underground,/wiki/Hidalgo_metro_station,19.437295,-99.147105
Hospital 20 de Noviembre,12,2012,Underground,/wiki/Hospital_20_de_Noviembre_metro_station,19.372042,-99.171005
Hospital General,3,1970,Underground,/wiki/Hospital_General_metro_station_(Mexico_City),19.413578,-99.153886
Impulsora,B,2000,At-grade,/wiki/Impulsora_metro_station,19.485851,-99.048915
Indios Verdes,3,1979,At-grade,/wiki/Indios_Verdes_metro_station,19.495358,-99.119468
Instituto del PetrÃ³leo,"5, 6",1982,At-grade / Underground,/wiki/Instituto_del_Petr%C3%B3leo_metro_station,19.489573,-99.14526
Insurgentes,1,1969,Underground,/wiki/Insurgentes_metro_station,19.423292,-99.163177
Insurgentes Sur,12,2012,Underground,/wiki/Insurgentes_Sur_metro_station,19.373581,-99.178762
Isabel la CatÃ³lica,1,1969,Underground,/wiki/Isabel_la_Cat%C3%B3lica_metro_station,19.426732,-99.137685
Iztacalco,8,1994,At-grade,/wiki/Iztacalco_metro_station,19.388562,-99.112215
Iztapalapa,8,1994,Underground,/wiki/Iztapalapa_metro_station,19.357834,-99.093461
Jamaica,"4, 9",1982,Elevated / Underground,/wiki/Jamaica_metro_station,19.40900389,-99.12217111
JuanacatlÃ¡n,1,1970,Underground,/wiki/Juanacatl%C3%A1n_metro_station,19.41289,-99.182167
JuÃ¡rez,3,1970,Underground,/wiki/Ju%C3%A1rez_metro_station,19.433167,-99.147792
Lagunilla,B,1999,Underground,/wiki/Lagunilla_metro_station,19.443386,-99.131334
La Paz,A,1991,At-grade,/wiki/La_Paz_metro_station_(State_of_Mexico),19.350526,-98.960745
La Raza,"3, 5",1979,Underground / At-grade,/wiki/La_Raza_metro_station,19.470153,-99.136891
La Viga,8,1994,Underground,/wiki/La_Viga_metro_station,19.406495,-99.126248
La Villa-BasÃ­lica,6,1986,Underground,/wiki/La_Villa-Bas%C3%ADlica_metro_station,19.481522,-99.117923
LÃ¡zaro CÃ¡rdenas,9,1987,Underground,/wiki/L%C3%A1zaro_C%C3%A1rdenas_metro_station_(Mexico_City),19.40696,-99.144874
Lindavista,6,1986,Underground,/wiki/Lindavista_metro_station,19.487712,-99.13466
Lomas Estrella,12,2012,Elevated,/wiki/Lomas_Estrella_metro_station,19.322256,-99.096111
Los Reyes,A,1991,At-grade,/wiki/Los_Reyes_metro_station,19.358968,-98.976903
MartÃ­n Carrera,"4, 6",1981,At-grade / Underground,/wiki/Mart%C3%ADn_Carrera_metro_station,19.484921,-99.104404
Merced,1,1969,Underground,/wiki/Merced_metro_station,19.425558,-99.124639
Mexicaltzingo,12,2012,Underground,/wiki/Mexicaltzingo_metro_station,19.357671,-99.121852
Miguel Ãngel de Quevedo,3,1983,Underground,/wiki/Miguel_%C3%81ngel_de_Quevedo_metro_station,19.346395,-99.18103
Misterios,5,1982,Underground,/wiki/Misterios_metro_station,19.463315,-99.130797
Mixcoac,"7, 12",1985,Underground,/wiki/Mixcoac_metro_station,19.375891,-99.187531
Mixiuhca,9,1987,Underground,/wiki/Mixiuhca_metro_station,19.408478,-99.112902
Moctezuma,1,1969,Underground,/wiki/Moctezuma_metro_station,19.427218,-99.110305
Morelos,"4, B",1981,Elevated / Underground,/wiki/Morelos_metro_station,19.438974,-99.118266
MÃºzquiz,B,2000,At-grade,/wiki/M%C3%BAzquiz_metro_station,19.501629,-99.042048
Nativitas,2,1970,At-grade,/wiki/Nativitas_metro_station,19.379474,-99.140217
NezahualcÃ³yotl,B,2000,At-grade,/wiki/Nezahualc%C3%B3yotl_metro_station,19.473066,-99.054537
NiÃ±os HÃ©roes / Poder Judicial CDMX,3,1970,Underground,/wiki/Ni%C3%B1os_H%C3%A9roes_/_Poder_Judicial_CDMX_metro_station,19.419508,-99.150581
Nopalera,12,2012,Elevated,/wiki/Nopalera_metro_station,19.29997,-99.046049
Normal,2,1970,Underground,/wiki/Normal_metro_station,19.4444,-99.1674
Norte 45,6,1983,Underground,/wiki/Norte_45_metro_station,19.488683,-99.162769
Obrera,8,1994,Underground,/wiki/Obrera_metro_station,19.413558,-99.144187
Observatorio,1,1972,Underground,/wiki/Observatorio_metro_station,19.398237,-99.200363
OceanÃ­a,"5, B",1981,At-grade / Elevated,/wiki/Ocean%C3%ADa_metro_station,19.445672,-99.087238
OlÃ­mpica,B,2000,At-grade,/wiki/Ol%C3%ADmpica_metro_station,19.521328,-99.033422
Olivos,12,2012,Elevated,/wiki/Olivos_metro_station,19.304275,-99.059385
Panteones,2,1984,Underground,/wiki/Panteones_metro_station,19.458763,-99.203153
PantitlÃ¡n,"1, 5, 9, A",1981,Underground / At-grade / Elevated,/wiki/Pantitl%C3%A1n_metro_station,19.415359,-99.072132
Parque de los Venados,12,2012,Underground,/wiki/Parque_de_los_Venados_metro_station,19.370662,-99.158716
Patriotismo,9,1988,Underground,/wiki/Patriotismo_metro_station,19.4062,-99.1789
PeÃ±Ã³n Viejo,A,1991,At-grade,/wiki/Pe%C3%B1%C3%B3n_Viejo_metro_station,19.37332,-99.017093
PerifÃ©rico Oriente,12,2012,Elevated,/wiki/Perif%C3%A9rico_Oriente_metro_station,19.317673,-99.074647
Pino SuÃ¡rez,"1, 2",1969,Underground,/wiki/Pino_Su%C3%A1rez_metro_station,19.425336,-99.132943
Plaza AragÃ³n,B,2000,At-grade,/wiki/Plaza_Arag%C3%B3n_metro_station,19.528447,-99.030118
Polanco,7,1984,Underground,/wiki/Polanco_metro_station,19.4336,-99.191
PolitÃ©cnico,5,1982,At-grade,/wiki/Polit%C3%A9cnico_metro_station,19.50082,-99.149294
Popotla,2,1970,Underground,/wiki/Popotla_metro_station,19.452147,-99.1747
Portales,2,1970,At-grade,/wiki/Portales_metro_station,19.3698,-99.1416
Potrero,3,1979,At-grade,/wiki/Potrero_metro_station,19.47691,-99.132171
Puebla,9,1987,Elevated,/wiki/Puebla_metro_station,19.407142,-99.082432
RefinerÃ­a,7,1988,Underground,/wiki/Refiner%C3%ADa_metro_station,19.469951,-99.190578
RevoluciÃ³n,2,1970,Underground,/wiki/Revoluci%C3%B3n_metro_station_(Mexico_City),19.439561,-99.155431
Ricardo Flores MagÃ³n,B,1999,Elevated,/wiki/Ricardo_Flores_Mag%C3%B3n_metro_station,19.436567,-99.103675
RÃ­o de los Remedios,B,2000,At-grade,/wiki/R%C3%ADo_de_los_Remedios_metro_station,19.490908,-99.046597
Romero Rubio,B,1999,Elevated,/wiki/Romero_Rubio_metro_station,19.440735,-99.094362
Salto del Agua,"1, 8",1969,Underground,/wiki/Salto_del_Agua_metro_station,19.426813,-99.142213
San AndrÃ©s TomatlÃ¡n,12,2012,Elevated,/wiki/San_Andr%C3%A9s_Tomatl%C3%A1n_metro_station,19.328306,-99.104868
San Antonio,7,1985,Underground,/wiki/San_Antonio_metro_station_(Mexico_City),19.384757,-99.186308
San Antonio Abad,2,1970,At-grade,/wiki/San_Antonio_Abad_metro_station,19.418597,-99.134145
San Cosme,2,1970,Underground,/wiki/San_Cosme_metro_station,19.441706,-99.161096
San JoaquÃ­n,7,1984,Underground,/wiki/San_Joaqu%C3%ADn_metro_station_(Mexico_City),19.445793,-99.191823
San Juan de LetrÃ¡n,8,1994,Underground,/wiki/San_Juan_de_Letr%C3%A1n_metro_station,19.431305,-99.141569
San LÃ¡zaro,"1, B",1969,Underground / Elevated,/wiki/San_L%C3%A1zaro_metro_station,19.430213,-99.114833
San Pedro de los Pinos,7,1985,Underground,/wiki/San_Pedro_de_los_Pinos_metro_station,19.391275,-99.186051
Santa Anita,"4, 8",1982,Elevated / Underground,/wiki/Santa_Anita_metro_station,19.40273,-99.121699
Santa Marta,A,1991,At-grade,/wiki/Santa_Marta_metro_station,19.36,-98.994863
Sevilla,1,1969,Underground,/wiki/Sevilla_metro_station_(Mexico_City),19.421916,-99.17058
Tacuba,"2, 7",1970,Underground,/wiki/Tacuba_metro_station,19.459349,-99.189205
Tacubaya,"1, 7, 9",1970,Underground,/wiki/Tacubaya_metro_station,19.403439,-99.187102
TalismÃ¡n,4,1981,Elevated,/wiki/Talism%C3%A1n_metro_station,19.47428,-99.108009
TasqueÃ±a,2,1970,At-grade,/wiki/Tasque%C3%B1a_metro_station,19.344168,-99.142685
Tepalcates,A,1991,At-grade,/wiki/Tepalcates_metro_station,19.391335,-99.046383
Tepito,B,1999,Underground,/wiki/Tepito_metro_station,19.442495,-99.12333
Terminal AÃ©rea,5,1981,Underground,/wiki/Terminal_A%C3%A9rea_metro_station,19.433734,-99.087667
Tezonco,12,2012,Elevated,/wiki/Tezonco_metro_station,19.306365,-99.065533
TezozÃ³moc,6,1983,Underground,/wiki/Tezoz%C3%B3moc_metro_station,19.495116,-99.196286
TlÃ¡huac,12,2012,At-grade,/wiki/Tl%C3%A1huac_metro_station,19.28639,-99.01417
Tlaltenco,12,2012,At-grade,/wiki/Tlaltenco_metro_station,19.29438,-99.024104
Tlatelolco,3,1970,Underground,/wiki/Tlatelolco_metro_station,19.454979,-99.142814
UAM-Azcapotzalco,6,1983,Underground,/wiki/UAM-Azcapotzalco_metro_station,19.490989,-99.186416
UAM-I,8,1994,Underground,/wiki/UAM-I_metro_station,19.351234,-99.074707
Universidad,3,1983,At-grade,/wiki/Universidad_metro_station_(Mexico_City),19.324427,-99.17397
Valle GÃ³mez,5,1982,Underground,/wiki/Valle_G%C3%B3mez_metro_station,19.458742,-99.119296
Vallejo,6,1983,Underground,/wiki/Vallejo_metro_station,19.490625,-99.15586
VelÃ³dromo,9,1987,Elevated,/wiki/Vel%C3%B3dromo_metro_station,19.408478,-99.103074
Viaducto,2,1970,At-grade,/wiki/Viaducto_metro_station,19.400808,-99.136891
Villa de AragÃ³n,B,1999,At-grade,/wiki/Villa_de_Arag%C3%B3n_metro_station,19.461656,-99.061704
Villa de CortÃ©s,2,1970,At-grade,/wiki/Villa_de_Cort%C3%A9s_metro_station,19.38753,-99.138994
Viveros / Derechos Humanos,3,1983,Underground,/wiki/Viveros_/_Derechos_Humanos_metro_station,19.353724,-99.176052
Xola,2,1970,At-grade,/wiki/Xola_metro_station,19.3952,-99.1377
Zapata,"3, 12",1980,Underground,/wiki/Zapata_metro_station,19.370952,-99.164937
ZapotitlÃ¡n,12,2012,Elevated,/wiki/Zapotitl%C3%A1n_metro_station,19.29667,-99.03444
Zaragoza,1,1969,Underground,/wiki/Zaragoza_metro_station_(Mexico_City),19.412344,-99.08241
ZÃ³calo,2,1970,Underground,/wiki/Z%C3%B3calo_metro_station,19.433248,-99.1329
